0 49
10 33 19
39 49 15
6 16 16
20 36 2
48 49 8
12 21 14
40 48 7
4 23 17
11 28 1
6 16 5
18 32 15
44 46 2
40 47 11
48 49 15
48 49 19
34 46 11
30 49 8
10 45 6
3 37 1
1 33 7
30 40 10
21 22 17
27 35 6
16 30 14
36 40 4
29 47 13
3 13 13
38 46 16
44 47 17
42 49 15
34 37 7
46 48 11
30 39 18
1 22 12
10 24 17
22 41 5
32 44 19
21 42 4
33 42 6
30 40 8
22 46 16
14 37 2
27 49 12
9 22 19
4 23 3
38 47 6
16 39 8
3 16 7
36 47 8
3 12 14
17 37 2
6 10 15
0 3 20
12 34 19
0 32 16
16 38 16
45 46 6
24 47 12
25 46 6
15 49 1
47 49 17
14 21 8
26 31 3
32 46 2
11 16 20
25 43 20
48 49 7
41 42 20
28 35 10
21 46 4
31 49 6
23 30 3
39 45 15
16 23 8
42 44 10
39 42 10
10 34 19
2 38 17
13 48 15
16 27 12
20 21 10
26 30 11
7 15 12
28 47 19
11 47 6
22 35 19
30 35 8
29 45 18
47 48 14
1 13 18
24 47 8
1 48 10
16 28 13
47 48 17
0 1 18
1 2 19
2 4 10
4 6 20
6 7 2
7 9 13
9 11 6
11 14 15
14 17 14
17 18 9
18 20 4
20 25 1
25 26 12
26 29 2
